Year,Segment,Domain,Element,Basis,Mass_g_per_vehicle
2020,AB,Motors,Ag_ppm,scaled,0.15603979945988172
2020,AB,Motors,Al,scaled,10.808239222984188
2020,AB,Motors,As_ppm,scaled,0.0031222570945680463
2020,AB,Motors,B,scaled,12.49450544652164
2020,AB,Motors,Bi_ppm,scaled,0.0021858801650241227
2020,AB,Motors,C,scaled,3.0753552555653205
2020,AB,Motors,Cd_ppm,scaled,0.0006251043450073878
2020,AB,Motors,Co,scaled,12.339568581854726
2020,AB,Motors,Cu,scaled,1872.5888123206487
2020,AB,Motors,Dy,scaled,11.312609511327386
2020,AB,Motors,Fe,scaled,8464.865352652854
2020,AB,Motors,Fe_ppm,scaled,0.006230936358516395
2020,AB,Motors,Ga,scaled,0.5681313137464648
2020,AB,Motors,Mn,scaled,19.5869954851635
2020,AB,Motors,Mn_ppm,scaled,0.00031226843498557245
2020,AB,Motors,Nb,scaled,2.8398068936003615
2020,AB,Motors,Nd,scaled,346.43318720886873
2020,AB,Motors,Ni_ppm,scaled,0.0062473643113355026
2020,AB,Motors,O_ppm,scaled,0.12942099380507185
2020,AB,Motors,P,scaled,2.1357765879566064
2020,AB,Motors,P_ppm,scaled,0.0018714175333987243
2020,AB,Motors,Pb_ppm,scaled,0.018698790726084588
2020,AB,Motors,Pr,scaled,5.676809832209205
2020,AB,Motors,S,scaled,1.3371590796038715
2020,AB,Motors,S_ppm,scaled,0.009368110424611232
2020,AB,Motors,Sb_ppm,scaled,0.0024957539588782453
2020,AB,Motors,Se_ppm,scaled,0.0018702504030255521
2020,AB,Motors,Si,scaled,90.47480074022901
2020,AB,Motors,Sn_ppm,scaled,0.001248108095949418
2020,AB,Motors,Tb,scaled,0.5143283425056687
2020,AB,Motors,Te_ppm,scaled,0.0012489671880201777
2020,AB,Motors,TotalMass,scaled,10859.715014015681
2020,AB,Motors,Zn_ppm,scaled,0.0006238115484183234
2020,AB,PCB,Ag,modelled,3.731432970730974
2020,AB,PCB,Al,modelled,74.50933105407552
2020,AB,PCB,Au,modelled,0.7970433344998425
2020,AB,PCB,Cu,modelled,284.8557639623314
2020,AB,PCB,Fe,modelled,43.296390715346334
2020,AB,PCB,Ni,modelled,11.861151242364024
2020,AB,PCB,Pb,modelled,9.751830586896762
2020,AB,PCB,Pd,modelled,0.4157090813109649
2020,AB,PCB,Sn,modelled,50.2191250884537
2020,AB,PCB,Zn,modelled,3.2519521293715106
2020,AB,Sensors,Ag,static-2025,0.6077818336270258
2020,AB,Sensors,Al,static-2025,10.173703779353087
2020,AB,Sensors,As,static-2025,0.02067735973759192
2020,AB,Sensors,Au,static-2025,0.024082010675859362
2020,AB,Sensors,B,static-2025,0.05084856572201221
2020,AB,Sensors,Ba,static-2025,0.4380401690028811
2020,AB,Sensors,Co,static-2025,0.9715128524708169
2020,AB,Sensors,Cr,static-2025,1.0707382127122949
2020,AB,Sensors,Cu,static-2025,69.394766208022
2020,AB,Sensors,Dy,static-2025,0.026571542728908305
2020,AB,Sensors,Fe,static-2025,91.17709780509851
2020,AB,Sensors,Ga,static-2025,0.020682616109586768
2020,AB,Sensors,Ge,static-2025,0.001501528016123206
2020,AB,Sensors,In,static-2025,0.051132857527050886
2020,AB,Sensors,Li,static-2025,0.0014008442446865545
2020,AB,Sensors,Mn,static-2025,5.275394133407557
2020,AB,Sensors,Nd,static-2025,0.6188924952737236
2020,AB,Sensors,Ni,static-2025,6.4484590776233865
2020,AB,Sensors,Pb,static-2025,1.6969392008835948
2020,AB,Sensors,Pt,static-2025,0.0017482981656576717
2020,AB,Sensors,Si,static-2025,4.699240316672317
2020,AB,Sensors,Sn,static-2025,0.8108822130844012
2020,AB,Sensors,Ta,static-2025,0.04184983640411805
2020,AB,Sensors,Ti,static-2025,0.18020926898566872
2020,AB,Sensors,W,static-2025,0.006421485657835426
2020,AB,Sensors,Zn,static-2025,1.8653604037552363
2020,AB,Sensors,Zr,static-2025,0.25478122802657177
2020,AB,Wiring,Cu,modelled,37663.39536728023
2020,CD,Motors,Ag_ppm,scaled,0.32313144215610035
2020,CD,Motors,Al,scaled,23.836910527810367
2020,CD,Motors,As_ppm,scaled,0.006462651909084246
2020,CD,Motors,B,scaled,26.007454773001747
2020,CD,Motors,Bi_ppm,scaled,0.0045223463039540494
2020,CD,Motors,C,scaled,5.676912185443573
2020,CD,Motors,Cd_ppm,scaled,0.0012950954905949726
2020,CD,Motors,Co,scaled,105.64119424503718
2020,CD,Motors,Cu,scaled,3878.360369427368
2020,CD,Motors,Dy,scaled,97.03776143771282
2020,CD,Motors,Fe,scaled,16456.644356654215
2020,CD,Motors,Fe_ppm,scaled,0.012933387879296465
2020,CD,Motors,Ga,scaled,1.182022782662229
2020,CD,Motors,Mn,scaled,37.75741927133972
2020,CD,Motors,Mn_ppm,scaled,0.0006466050019942478
2020,CD,Motors,Nb,scaled,5.911975906307399
2020,CD,Motors,Nd,scaled,721.1122532723373
2020,CD,Motors,Ni_ppm,scaled,0.012929190037889397
2020,CD,Motors,O_ppm,scaled,0.26825315112301973
2020,CD,Motors,P,scaled,4.502576031759433
2020,CD,Motors,P_ppm,scaled,0.0038749622272395154
2020,CD,Motors,Pb_ppm,scaled,0.03879437413866569
2020,CD,Motors,Pr,scaled,11.829088653887876
2020,CD,Motors,S,scaled,2.601804500400944
2020,CD,Motors,S_ppm,scaled,0.019400670835180885
2020,CD,Motors,Sb_ppm,scaled,0.005169394265324695
2020,CD,Motors,Se_ppm,scaled,0.0038743692781035587
2020,CD,Motors,Si,scaled,196.34916609202403
2020,CD,Motors,Sn_ppm,scaled,0.0025865553543663673
2020,CD,Motors,Tb,scaled,5.528381157938659
2020,CD,Motors,Te_ppm,scaled,0.0025851353529372156
2020,CD,Motors,TotalMass,scaled,21458.060097460733
2020,CD,Motors,Zn_ppm,scaled,0.0012915542603891947
2020,CD,PCB,Ag,modelled,4.674425811008351
2020,CD,PCB,Al,modelled,95.69534917165484
2020,CD,PCB,Au,modelled,1.0971373665964472
2020,CD,PCB,Cu,modelled,357.67482927398396
